"code","division","directorate"
5050202,Direct For Computer & Info Scie & Enginr,Division Of Computer and Network Systems
5060000,Direct For Computer & Info Scie & Enginr,DIVISION OF EXPERIMENTAL & INTEG ACTIVIT
5060100,Direct For Computer & Info Scie & Enginr,DIVISION OF EXPERIMENTAL & INTEG ACTIVIT
5060200,Direct For Computer & Info Scie & Enginr,DIVISION OF EXPERIMENTAL & INTEG ACTIVIT
5060300,Direct For Computer & Info Scie & Enginr,DIVISION OF EXPERIMENTAL & INTEG ACTIVIT
5060400,Direct For Computer & Info Scie & Enginr,DIVISION OF EXPERIMENTAL & INTEG ACTIVIT
5060500,Direct For Computer & Info Scie & Enginr,DIVISION OF EXPERIMENTAL & INTEG ACTIVIT
5070000,Direct For Computer & Info Scie & Enginr,""
5080000,Direct For Computer & Info Scie & Enginr,""
5090000,Direct For Computer & Info Scie & Enginr,Div Of Advanced Cyberinfrastructure
5100000,Direct For Computer & Info Scie & Enginr,CISE Information Technology Research
5100003,Direct For Computer & Info Scie & Enginr,CISE Information Technology Research
6000000,Directorate For Geosciences,Directorate For Geosciences
6000001,Directorate For Geosciences,Directorate For Geosciences
6000009,Directorate For Geosciences,Directorate For Geosciences
6010000,Directorate For Geosciences,ICER
6010101,Directorate For Geosciences,ICER
6010105,Directorate For Geosciences,ICER
6020000,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
6020100,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
6020102,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
6020104,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
6020105,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
6020106,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
6020107,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
6020108,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
6020200,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
6020201,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
6020202,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
6020203,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
6020204,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
6020300,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
6020500,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
6030000,Directorate For Geosciences,Division Of Earth Sciences
6030002,Directorate For Geosciences,Division Of Earth Sciences
6030003,Directorate For Geosciences,Division Of Earth Sciences
6030004,Directorate For Geosciences,Division Of Earth Sciences
6030006,Directorate For Geosciences,Division Of Earth Sciences
6030100,Directorate For Geosciences,Division Of Earth Sciences
6030101,Directorate For Geosciences,Division Of Earth Sciences
6030102,Directorate For Geosciences,Division Of Earth Sciences
6030103,Directorate For Geosciences,Division Of Earth Sciences
6030104,Directorate For Geosciences,Division Of Earth Sciences
6030106,Directorate For Geosciences,Division Of Earth Sciences
6030107,Directorate For Geosciences,Division Of Earth Sciences
6030108,Directorate For Geosciences,Division Of Earth Sciences
6030109,Directorate For Geosciences,Division Of Earth Sciences
6030200,Directorate For Geosciences,Division Of Earth Sciences
6030201,Directorate For Geosciences,Division Of Earth Sciences
6030202,Directorate For Geosciences,Division Of Earth Sciences
6030203,Directorate For Geosciences,Division Of Earth Sciences
6030204,Directorate For Geosciences,Division Of Earth Sciences
6030205,Directorate For Geosciences,Division Of Earth Sciences
6030206,Directorate For Geosciences,Division Of Earth Sciences
6030207,Directorate For Geosciences,Division Of Earth Sciences
6030208,Directorate For Geosciences,Division Of Earth Sciences
6040000,Directorate For Geosciences,Division Of Ocean Sciences
6040100,Directorate For Geosciences,Division Of Ocean Sciences
6040101,Directorate For Geosciences,Division Of Ocean Sciences
6040102,Directorate For Geosciences,Division Of Ocean Sciences
6040103,Directorate For Geosciences,Division Of Ocean Sciences
6040104,Directorate For Geosciences,Division Of Ocean Sciences
6040200,Directorate For Geosciences,Division Of Ocean Sciences
6040201,Directorate For Geosciences,Division Of Ocean Sciences
6040202,Directorate For Geosciences,Division Of Ocean Sciences
6040203,Directorate For Geosciences,Division Of Ocean Sciences
6040204,Directorate For Geosciences,Division Of Ocean Sciences
6040205,Directorate For Geosciences,Division Of Ocean Sciences
6040300,Directorate For Geosciences,Division Of Ocean Sciences
6040301,Directorate For Geosciences,Division Of Ocean Sciences
6040302,Directorate For Geosciences,Division Of Ocean Sciences
6040303,Directorate For Geosciences,Division Of Ocean Sciences
6040304,Directorate For Geosciences,Division Of Ocean Sciences
6040305,Directorate For Geosciences,Division Of Ocean Sciences
6050000,Directorate For Geosciences,Division Of Polar Progrms
6070000,Directorate For Geosciences,""
6090000,Directorate For Geosciences,Division Of Polar Programs
6090100,Directorate For Geosciences,Division Of Polar Programs
6090200,Directorate For Geosciences,Division Of Polar Programs
6090300,Directorate For Geosciences,Division Of Polar Programs
6090400,Directorate For Geosciences,Division Of Polar Programs
7000000,Directorate For Engineering,Directorate For Engineering
7010000,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
7020000,Directorate For Engineering,"Div Of Chem, Bioeng, Env, & Transp Sys"
7030000,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
7030004,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
7030008,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
7030009,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
7030100,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
7040000,Directorate For Engineering,Emerging Frontiers & Multidisciplinary Activities
7040001,Directorate For Engineering,Emerging Frontiers & Multidisciplinary Activities
7040009,Directorate For Engineering,Emerging Frontiers & Multidisciplinary Activities
7050000,Directorate For Engineering,Div Of Engineering Education and Centers
7050006,Directorate For Engineering,Div Of Engineering Education and Centers
7050105,Directorate For Engineering,Div Of Engineering Education and Centers
